No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Seren Selimbau;6102052001;Seren Selimbau;61.07.13.2003
2;Tiga Berkat;6102052002;Tiga Berkat;61.07.13.2002
3;Magmagan Karya;6102052003;Magmagan Karya;61.07.13.2001
4;Belimbing;6102052004;Belimbing;61.07.13.2004
5;Lamolda;6102052005;Lamolda;61.07.13.2005
