No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Johan Pahlawan;1107050;Johan Pahwalan;11.05.01
2;Samatiga;1107060;Samatiga;11.05.05
3;Bubon;1107061;Bubon;11.05.06
4;Arongan Lambalek;1107062;Arongan Lambalek;11.05.07
5;Woyla;1107070;Woyla;11.05.04
6;Woyla Barat;1107071;Woyla Barat;11.05.10
7;Woyla Timur;1107072;Woyla Timur;11.05.11
8;Kaway Xvi;1107080;Kaway Xvi;11.05.02
9;Meureubo;1107081;Meureubo;11.05.09
10;Pantai Ceuremen;1107082;Pante Ceureumen;11.05.08
11;Panton Reu;1107083;Panton Reu;11.05.12
12;Sungai Mas;1107090;Sungai Mas;11.05.03
