No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Sawangan;3276010;Sawangan;32.76.03
2;Bojongsari;3276011;Bojongsari;32.76.11
3;Pancoran Mas;3276020;Pancoran Mas;32.76.01
4;Cipayung;3276021;Cipayung;32.76.07
5;Sukma Jaya;3276030;Sukmajaya;32.76.05
6;Cilodong;3276031;Cilodong;32.76.08
7;Cimanggis;3276040;Cimanggis;32.76.02
8;Tapos;3276041;Tapos;32.76.10
9;Beji;3276050;Beji;32.76.06
10;Limo;3276060;Limo;32.76.04
11;Cinere;3276061;Cinere;32.76.09
