No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Wewiku;5321010;Wewiku;53.21.03
2;Malaka Barat;5321020;Malaka Barat;53.21.02
3;Weliman;5321030;Weliman;53.21.04
4;Rinhat;5321040;Rinhat;53.21.05
5;Io Kufeu;5321050;Io Kufeu;53.21.06
6;Sasita Mean;5321060;Sasitamean;53.21.07
7;Malaka Tengah;5321070;Malaka Tengah;53.21.01
8;Botin Leobele;5321080;Botin Leobele;53.21.12
9;Laen Manen;5321090;Laenmanen;53.21.08
10;Malaka Timur;5321100;Malaka Timur;53.21.09
11;Kobalima;5321110;Kobalima;53.21.11
12;Kobalima Timur;5321120;Kobalima Timur;53.21.10
