No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Nias;1201;Kab. Nias;12.04
2;Mandailing Natal;1202;Kab. Mandailing Natal;12.13
3;Tapanuli Selatan;1203;Kab. Tapanuli Selatan;12.03
4;Tapanuli Tengah;1204;Kab. Tapanuli Tengah;12.01
5;Tapanuli Utara;1205;Kab. Tapanuli Utara;12.02
6;Toba Samosir;1206;Kab. Toba Samosir;12.12
7;Labuhan Batu;1207;Kab. Labuhanbatu;12.10
8;Asahan;1208;Kab. Asahan;12.09
9;Simalungun;1209;Kab. Simalungun;12.08
10;Dairi;1210;Kab. Dairi;12.11
11;Karo;1211;Kab. Karo;12.06
12;Deli Serdang;1212;Kab. Deli Serdang;12.07
13;Langkat;1213;Kab. Langkat;12.05
14;Nias Selatan;1214;Kab. Nias Selatan;12.14
15;Humbang Hasundutan;1215;Kab. Humbang Hasundutan;12.16
16;Pakpak Bharat;1216;Kab. Pakpak Bharat;12.15
17;Samosir;1217;Kab. Samosir;12.17
18;Serdang Bedagai;1218;Kab. Serdang Bedagai;12.18
19;Batu Bara;1219;Kab. Batu Bara;12.19
20;Padang Lawas Utara;1220;Kab. Padang Lawas Utara;12.20
21;Padang Lawas;1221;Kab. Padang Lawas;12.21
22;Labuhan Batu Selatan;1222;Kab. Labuhanbatu Selatan;12.22
23;Labuhan Batu Utara;1223;Kab. Labuhanbatu Utara;12.23
24;Nias Utara;1224;Kab. Nias Utara;12.24
25;Nias Barat;1225;Kab. Nias Barat;12.25
26;Sibolga;1271;Kota Sibolga;12.73
27;Tanjung Balai;1272;Kota Tanjung Balai;12.74
28;Pematang Siantar;1273;Kota Pematang Siantar;12.72
29;Tebing Tinggi;1274;Kota Tebing Tinggi;12.76
30;Medan;1275;Kota Medan;12.71
31;Binjai;1276;Kota Binjai;12.75
32;Padangsidimpuan;1277;Kota Padangsidimpuan;12.77
33;Gunungsitoli;1278;Kota Gunungsitoli;12.78
