No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kaloy;1114010001;Kaloy;11.16.07.2004
2;Rongoh;1114010002;Rongoh;11.16.07.2008
3;Alur Tani I;1114010003;Alur Tani Satu;11.16.07.2001
4;Alur Tani Ii;1114010004;Alur Tani Dua;11.16.07.2002
5;Bandar Khalifah;1114010005;Bandar Khalifah;11.16.07.2003
6;Perk Pulau Tiga;1114010006;Perkebunan Pulau Tiga;11.16.07.2005
7;Bandar Setia;1114010007;Bandar Setia;11.16.07.2007
8;Harum Sari;1114010008;Harum Sari;11.16.07.2006
9;Wono Sari;1114010009;Wono Sari;11.16.07.2010
