No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Metro Kibang;1804010;Metro Kibang;18.07.10
2;Batanghari;1804020;Batanghari;18.07.06
3;Sekampung;1804030;Sekampung;18.07.05
4;Margatiga;1804040;Marga Tiga;18.07.11
5;Sekampung Udik;1804050;Sekampung Udik;18.07.12
6;Jabung;1804060;Jabung;18.07.03
7;Pasir Sakti;1804061;Pasir Sakti;18.07.19
8;Waway Karya;1804062;Waway Karya;18.07.20
9;Marga Sekampung;1804063;Marga Sekampung;18.07.24
10;Labuhan Maringgai;1804070;Labuhan Maringgai;18.07.02
11;Mataram Baru;1804071;Mataram Baru;18.07.16
12;Bandar Sribawono;1804072;Bandar Sribhawono;18.07.15
13;Melinting;1804073;Melinting;18.07.17
14;Gunung Pelindung;1804074;Gunung Pelindung;18.07.18
15;Way Jepara;1804080;Way Jepara;18.07.07
16;Braja Slebah;1804081;Braja Selebah;18.07.22
17;Labuhan Ratu;1804082;Labuhan Ratu;18.07.21
18;Sukadana;1804090;Sukadana;18.07.01
19;Bumi Agung;1804091;Bumi Agung;18.07.14
20;Batanghari Nuban;1804092;Batanghari Nuban;18.07.13
21;Pekalongan;1804100;Pekalongan;18.07.04
22;Raman Utara;1804110;Raman Utara;18.07.09
23;Purbolinggo;1804120;Purbolinggo;18.07.08
24;Way Bungur;1804121;Way Bungur;18.07.23
