No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Batu Sopang;6401010;Batu Sopang;64.01.01
2;Muara Samu;6401011;Muara Samu;64.01.10
3;Batu Engau;6401021;Batu Engau;64.01.09
4;Tanjung Harapan;6401022;Tanjung Harapan;64.01.02
5;Pasir Belengkong;6401030;Paser Belengkong;64.01.03
6;Tanah Grogot;6401040;Tanah Grogot;64.01.04
7;Kuaro;6401050;Kuaro;64.01.05
8;Long Ikis;6401060;Long Ikis;64.01.06
9;Muara Komam;6401070;Muara Komam;64.01.07
10;Long Kali;6401080;Long Kali;64.01.08
