No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Bandar Kedung Mulyo;3517010;Bandarkedungmulyo;35.17.18
2;Perak;3517020;Perak;35.17.01
3;Gudo;3517030;Gudo;35.17.02
4;Diwek;3517040;Diwek;35.17.08
5;Ngoro;3517050;Ngoro;35.17.03
6;Mojowarno;3517060;Mojowarno;35.17.07
7;Bareng;3517070;Bareng;35.17.04
8;Wonosalam;3517080;Wonosalam;35.17.05
9;Mojoagung;3517090;Mojoagung;35.17.06
10;Sumobito;3517100;Sumobito;35.17.11
11;Jogo Roto;3517110;Jogoroto;35.17.19
12;Peterongan;3517120;Peterongan;35.17.10
13;Jombang;3517130;Jombang;35.17.09
14;Megaluh;3517140;Megaluh;35.17.20
15;Tembelang;3517150;Tembelang;35.17.13
16;Kesamben;3517160;Kesamben;35.17.12
17;Kudu;3517170;Kudu;35.17.17
18;Ngusikan;3517171;Ngusikan;35.17.21
19;Ploso;3517180;Ploso;35.17.14
20;Kabuh;3517190;Kabuh;35.17.16
21;Plandaan;3517200;Plandaan;35.17.15
