No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Balik Bukit;1801040;Balik Bukit;18.04.04
2;Sukau;1801041;Sukau;18.04.11
3;Lumbok Seminung;1801042;Lumbok Seminung;18.04.22
4;Belalau;1801050;Belalau;18.04.06
5;Sekincau;1801051;Sekincau;18.04.08
6;Suoh;1801052;Suoh;18.04.09
7;Batu Brak;1801053;Batu Brak;18.04.10
8;Pagar Dewa;1801054;Pagar Dewa;18.04.20
9;Batu Ketulis;1801055;Batu Ketulis;18.04.21
10;Bandar Negeri Suoh;1801056;Bandar Negeri Suoh;18.04.23
11;Sumber Jaya;1801060;Sumber Jaya;18.04.05
12;Way Tenong;1801061;Way Tenong;18.04.07
13;Gedung Surian;1801062;Gedung Surian;18.04.15
14;Kebun Tebu;1801063;Kebun Tebu;18.04.18
15;Air Hitam;1801064;Air Hitam;18.04.19
