No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Semendo Darat Laut;1603010;Semende Darat Laut;16.03.08
2;Semendo Darat Ulu;1603011;Semende Darat Ulu;16.03.10
3;Semendo Darat Tengah;1603012;Semende Darat Tengah;16.03.09
4;Tanjung Agung;1603020;Tanjung Agung;16.03.01
5;Rambang;1603031;Rambang;16.03.15
6;Lubai;1603032;Lubai;16.03.14
7;Lubai Ulu;1603033;Lubai Ulu;16.03.25
8;Lawang Kidul;1603040;Lawang Kidul;16.03.07
9;Muara Enim;1603050;Muara Enim;16.03.02
10;Ujan Mas;1603051;Ujan Mas;16.03.11
11;Gunung Megang;1603060;Gunung Megang;16.03.04
12;Benakat;1603061;Benakat;16.03.19
13;Belimbing;1603062;Belimbing;16.03.23
14;Rambang Dangku;1603070;Rambang Dangku;16.03.03
15;Gelumbang;1603090;Gelumbang;16.03.06
16;Lembak;1603091;Lembak;16.03.17
17;Sungai Rotan;1603092;Sungai Rotan;16.03.16
18;Muara Belida;1603093;Muara Belida;16.03.22
19;Kelekar;1603094;Kelekar;16.03.21
20;Belida Darat;1603095;Belida Darat;16.03.24
