No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Lemahsugih;3210010;Lemahsugih;32.10.01
2;Bantarujeg;3210020;Bantarujeg;32.10.02
3;Malausma;3210021;Malausma;32.10.26
4;Cikijing;3210030;Cikijing;32.10.03
5;Cingambul;3210031;Cingambul;32.10.23
6;Talaga;3210040;Talaga;32.10.04
7;Banjaran;3210041;Banjaran;32.10.22
8;Argapura;3210050;Argapura;32.10.05
9;Maja;3210060;Maja;32.10.06
10;Majalengka;3210070;Majalengka;32.10.07
11;Cigasong;3210080;Cigasong;32.10.20
12;Sukahaji;3210090;Sukahaji;32.10.08
13;Sindang;3210091;Sindang;32.10.25
14;Rajagaluh;3210100;Rajagaluh;32.10.09
15;Sindangwangi;3210110;Sindangwangi;32.10.21
16;Leuwimunding;3210120;Leuwimunding;32.10.10
17;Palasah;3210130;Palasah;32.10.19
18;Jatiwangi;3210140;Jatiwangi;32.10.11
19;Dawuan;3210150;Dawuan;32.10.12
20;Kasokandel;3210151;Kasokandel;32.10.24
21;Panyingkiran;3210160;Panyingkiran;32.10.18
22;Kadipaten;3210170;Kadipaten;32.10.13
23;Kertajati;3210180;Kertajati;32.10.14
24;Jatitujuh;3210190;Jatitujuh;32.10.15
25;Ligung;3210200;Ligung;32.10.16
26;Sumberjaya;3210210;Sumberjaya;32.10.17
