No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Keritang;1403010;Keritang;14.04.09
2;Kemuning;1403011;Kemuning;14.04.14
3;Reteh;1403020;Reteh;14.04.01
4;Sungai Batang;1403021;Sungai Batang;14.04.20
5;Enok;1403030;Enok;14.04.02
6;Tanah Merah;1403040;Tanah Merah;14.04.10
7;Kuala Indragiri;1403050;Kuala Indragiri;14.04.03
8;Concong;1403051;Concong;14.04.18
9;Tembilahan;1403060;Tembilahan;14.04.04
10;Tembilahan Hulu;1403061;Tembilahan Hulu;14.04.13
11;Tempuling;1403070;Tempuling;14.04.05
12;Kempas;1403071;Kempas;14.04.19
13;Batang Tuaka;1403080;Batang Tuaka;14.04.11
14;Gaung Anak Serka;1403090;Gaung Anak Serka;14.04.06
15;Gaung;1403100;Gaung;14.04.12
16;Mandah;1403110;Mandah;14.04.07
17;Kateman;1403120;Kateman;14.04.08
18;Pelangiran;1403121;Pelangiran;14.04.15
19;Teluk Belengkong;1403122;Teluk Belengkong;14.04.16
20;Pulau Burung;1403123;Pulau Burung;14.04.17
