No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pelepat;1509010;Pelepat;15.08.06
2;Pelepat Ilir;1509011;Pelepat Ilir;15.08.09
3;Bathin Ii Babeko;1509021;Batin Ii Babeko;15.08.10
4;Rimbo Tengah;1509022;Rimbo Tengah;15.08.13
5;Bungo Dani;1509023;Bungo Dani;15.08.12
6;Pasar Muara Bungo;1509024;Pasar Muaro Bungo;15.08.03
7;Bathin Iii;1509025;Bathin Iii;15.08.11
8;Rantau Pandan;1509030;Rantau Pandan;15.08.02
9;Muko-muko Bathin Vii;1509031;Muko-muko Bathin Vii;15.08.08
10;Bathin Iii Ulu;1509032;Bathin Iii Ulu;15.08.14
11;Tanah Sepenggal;1509040;Tanah Sepenggal;15.08.05
12;Tanah Sepenggal Lintas;1509041;Tanah Sepenggal Lintas;15.08.17
13;Tanah Tumbuh;1509050;Tanah Tumbuh;15.08.01
14;Limbur Lubuk Mengkuang;1509051;Limbur Lubuk Mengkuang;15.08.07
15;Bathin Ii Pelayang;1509052;Bathin Ii Pelayang;15.08.15
16;Jujuhan;1509060;Jujuhan;15.08.04
17;Jujuhan Ilir;1509061;Jujuhan Ilir;15.08.16
