No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Tamiang Hulu;1114010;Tamiang Hulu;11.16.07
2;Bandar Pusaka;1114011;Bandar Pusaka;11.16.10
3;Kejuruan Muda;1114020;Kejuruan Muda;11.16.06
4;Tenggulun;1114021;Tenggulun;11.16.11
5;Rantau;1114030;Rantau;11.16.08
6;Kota Kualasimpang;1114040;Kota Kualasinpang;11.16.05
7;Seruway;1114050;Seruway;11.16.04
8;Bendahara;1114060;Bendahara;11.16.02
9;Banda Mulia;1114061;Banda Mulia;11.16.09
10;Karang Baru;1114070;Karang Baru;11.16.03
11;Sekerak;1114071;Sekerak;11.16.12
12;Manyak Payed;1114080;Manyak Payed;11.16.01
