No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Yapen Timur;9408040;Yapen Timur;91.05.03
2;Pantura Yapen;9408041;Yapen Utara;91.05.07
3;Teluk Ampimoi;9408042;Teluk Ampimoi;91.05.09
4;Raimbawi;9408043;Raimbawi;91.05.08
5;Pulau Kurudu;9408044;Pulau Kurudu;91.05.13
6;Angkaisera;9408050;Angkaisera;91.05.04
7;Kep. Ambai;9408051;Kepulauan Ambai;91.05.10
8;Yawakukat;9408052;Yawakukat;91.05.16
9;Yapen Selatan;9408060;Yapen Selatan;91.05.01
10;Kosiwo;9408061;Kosiwo;91.05.06
11;Anataurei;9408062;Anotaurei;91.05.15
12;Yapen Barat;9408070;Yapen Barat;91.05.02
13;Wonawa;9408071;Wonawa;91.05.11
14;Pulau Yerui;9408072;Pulau Yerui;91.05.14
15;Poom;9408080;Poom;91.05.05
16;Windesi;9408081;Windesi;91.05.12
