No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Cinangka;3604010;Cinangka;36.04.31
2;Padarincang;3604020;Padarincang;36.04.29
3;Ciomas;3604030;Ciomas;36.04.27
4;Pabuaran;3604040;Pabuaran;36.04.28
5;Gunung Sari;3604041;Gunung Sari;36.04.33
6;Baros;3604050;Baros;36.04.22
7;Petir;3604060;Petir;36.04.19
8;Tunjung Teja;3604061;Tunjung Teja;36.04.20
9;Cikeusal;3604080;Cikeusal;36.04.23
10;Pamarayan;3604090;Pamarayan;36.04.24
11;Bandung;3604091;Bandung;36.04.34
12;Jawilan;3604100;Jawilan;36.04.26
13;Kopo;3604110;Kopo;36.04.25
14;Cikande;3604120;Cikande;36.04.15
15;Kibin;3604121;Kibin;36.04.16
16;Kragilan;3604130;Kragilan;36.04.11
17;Waringinkurung;3604180;Waringinkurung;36.04.06
18;Mancak;3604190;Mancak;36.04.32
19;Anyar;3604200;Anyar;36.04.30
20;Bojonegara;3604210;Bojonegara;36.04.07
21;Pulo Ampel;3604211;Pulo Ampel;36.04.08
22;Kramatwatu;3604220;Kramatwatu;36.04.05
23;Ciruas;3604240;Ciruas;36.04.09
24;Pontang;3604250;Pontang;36.04.12
25;Lebak Wangi;3604251;Lebak Wangi;36.04.35
26;Carenang;3604260;Carenang;36.04.17
27;Binuang;3604261;Binuang;36.04.18
28;Tirtayasa;3604270;Tirtayasa;36.04.13
29;Tanara;3604271;Tanara;36.04.14
