No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pantai Cermin;1303040;Pantai Cermin;13.02.03
2;Lembah Gumanti;1303050;Lembah Gumanti;13.02.04
3;Hiliran Gumanti;1303051;Hiliran Gumanti;13.02.17
4;Payung Sekaki;1303060;Payung Sekaki;13.02.05
5;Tigo Lurah;1303061;Tigo Lurah;13.02.18
6;Lembang Jaya;1303070;Lembang Jaya;13.02.06
7;Danau Kembar;1303071;Danau Kembar;13.02.19
8;Gunung Talang;1303080;Gunung Talang;13.02.07
9;Bukit Sundi;1303090;Bukit Sundi;13.02.08
10;Ix Koto Sungai Lasi;1303100;Ix Koto Sungai Lasi;13.02.09
11;Kubung;1303110;Kubung;13.02.10
12;X Koto Diatas;1303120;X Koto Diatas;13.02.12
13;X Koto Singkarak;1303130;X Koto Singkarak;13.02.11
14;Junjung Sirih;1303140;Junjung Sirih;13.02.13
