No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Atinggola;7505010;Atinggola;75.05.01
2;Gentuma Raya;7505011;Gentuma Raya;75.05.06
3;Kwandang;7505020;Kwandang;75.05.02
4;Tomilito;7505021;Tomolito;75.05.07
5;Ponelo Kepulauan;7505022;Ponelo Kepulauan;75.05.08
6;Anggrek;7505030;Anggrek;75.05.03
7;Monano;7505031;Monano;75.05.09
8;Sumalata;7505040;Sumalata;75.05.04
9;Sumalata Timur;7505041;Sumalata Timur;75.05.11
10;Tolinggula;7505050;Tolinggula;75.05.05
11;Biau;7505051;Biau;75.05.10
