No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Buton;7401;Kab. Buton;74.04
2;Buton;7401;Kab. Buton;74.04
3;Buton;7401;Kab. Buton;74.04
4;Muna;7402;Kab. Muna;74.03
5;Muna;7402;Kab. Muna;74.03
6;Konawe;7403;Kab. Konawe;74.02
7;Konawe;7403;Kab. Konawe;74.02
8;Kolaka;7404;Kab. Kolaka;74.01
9;Kolaka;7404;Kab. Kolaka;74.01
10;Konawe Selatan;7405;Kab. Konawe Selatan;74.05
11;Bombana;7406;Kab. Bombana;74.06
12;Wakatobi;7407;Kab. Wakatobi;74.07
13;Kolaka Utara;7408;Kab. Kolaka Utara;74.08
14;Buton Utara;7409;Kab. Buton Utara;74.10
15;Konawe Utara;7410;Kab. Konawe Utara;74.09
16;Kolaka Timur;7411;Kab. Kolaka Timur;74.11
17;Kolaka Timur;7411;Kab. Kolaka Timur;74.11
18;Konawe Kepulauan;7412;Kab. Konawe Kepulauan;74.12
19;Konawe Kepulauan;7412;Kab. Konawe Kepulauan;74.12
20;Muna Barat;7413;Kab. Muna Barat;74.13
21;Muna Barat;7413;Kab. Muna Barat;74.13
22;Buton Tengah;7414;Kab. Buton Tengah;74.14
23;Buton Tengah;7414;Kab. Buton Tengah;74.14
24;Buton Tengah;7414;Kab. Buton Tengah;74.14
25;Buton Selatan;7415;Kab. Buton Selatan;74.15
26;Buton Selatan;7415;Kab. Buton Selatan;74.15
27;Buton Selatan;7415;Kab. Buton Selatan;74.15
28;Kendari;7471;Kota Kendari;74.71
29;Baubau;7472;Kota Bau Bau;74.72
