No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Moyudan;3404010;Moyudan;34.04.03
2;Minggir;3404020;Minggir;34.04.04
3;Seyegan;3404030;Seyegan;34.04.05
4;Godean;3404040;Godean;34.04.02
5;Gamping;3404050;Gamping;34.04.01
6;Mlati;3404060;Mlati;34.04.06
7;Depok;3404070;Depok;34.04.07
8;Berbah;3404080;Berbah;34.04.08
9;Prambanan;3404090;Prambanan;34.04.09
10;Kalasan;3404100;Kalasan;34.04.10
11;Ngemplak;3404110;Ngemplak;34.04.11
12;Ngaglik;3404120;Ngaglik;34.04.12
13;Sleman;3404130;Sleman;34.04.13
14;Tempel;3404140;Tempel;34.04.14
15;Turi;3404150;Turi;34.04.15
16;Pakem;3404160;Pakem;34.04.16
17;Cangkringan;3404170;Cangkringan;34.04.17
