No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Lumbir;3302010;Lumbir;33.02.01
2;Wangon;3302020;Wangon;33.02.02
3;Jatilawang;3302030;Jatilawang;33.02.03
4;Rawalo;3302040;Rawalo;33.02.04
5;Kebasen;3302050;Kebasen;33.02.05
6;Kemranjen;3302060;Kemranjen;33.02.06
7;Sumpiuh;3302070;Sumpiuh;33.02.07
8;Tambak;3302080;Tambak;33.02.08
9;Somagede;3302090;Somagede;33.02.09
10;Kalibagor;3302100;Kalibagor;33.02.10
11;Banyumas;3302110;Banyumas;33.02.11
12;Patikraja;3302120;Patikraja;33.02.12
13;Purwojati;3302130;Purwojati;33.02.13
14;Ajibarang;3302140;Ajibarang;33.02.14
15;Gumelar;3302150;Gumelar;33.02.15
16;Pekuncen;3302160;Pekuncen;33.02.16
17;Cilongok;3302170;Cilongok;33.02.17
18;Karanglewas;3302180;Karanglewas;33.02.18
19;Kedung Banteng;3302190;Kedungbanteng;33.02.23
20;Baturraden;3302200;Baturraden;33.02.22
21;Sumbang;3302210;Sumbang;33.02.21
22;Kembaran;3302220;Kembaran;33.02.20
23;Sokaraja;3302230;Sokaraja;33.02.19
24;Purwokerto Selatan;3302710;Purwokerto Selatan;33.02.24
25;Purwokerto Barat;3302720;Purwokerto Barat;33.02.25
26;Purwokerto Timur;3302730;Purwokerto Timur;33.02.26
27;Purwokerto Utara;3302740;Purwokerto Utara;33.02.27
