No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Popayato;7503010;Popayato;75.04.01
2;Popayato Barat;7503011;Popayato Barat;75.04.13
3;Popayato Timur;7503012;Popayato Timur;75.04.12
4;Lemito;7503020;Lemito;75.04.02
5;Wanggarasi;7503021;Wanggarasi;75.04.11
6;Marisa;7503030;Marisa;75.04.04
7;Patilanggio;7503031;Patilanggio;75.04.06
8;Buntulia;7503032;Buntulia;75.04.09
9;Duhiadaa;7503033;Duhiadaa;75.04.10
10;Randangan;7503040;Randangan;75.04.03
11;Taluditi;7503041;Taluditi;75.04.07
12;Paguat;7503050;Paguat;75.04.05
13;Dengilo;7503051;Dengilo;75.04.08
