No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pasirpanjang;7172021001;Pasir Panjang;71.72.01.1001
2;Paudean;7172021002;Paudean;71.72.01.1002
3;Batulubang;7172021003;Batulubang;71.72.01.1003
4;Dorbolaang;7172021004;Dorbolaang;71.72.01.1011
5;Pancuran;7172021005;Pancuran;71.72.01.1006
6;Papusungan;7172021006;Papusungan;71.72.01.1004
7;Kelapa Dua;7172021007;Kelapa Dua;71.72.01.1016
