No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Modoinding;7105010;Modoinding;71.05.01
2;Tompaso Baru;7105020;Tompaso Baru;71.05.02
3;Maesaan;7105021;Maesaan;71.05.16
4;Ranoyapo;7105070;Ranoyapo;71.05.03
5;Motoling;7105080;Motoling;71.05.07
6;Kumelembuai;7105081;Kumelembuai;71.05.15
7;Motoling Barat;7105082;Motoling Barat;71.05.21
8;Motoling Timur;7105083;Motoling Timur;71.05.22
9;Sinonsayang;7105090;Sinonsayang;71.05.08
10;Tenga;7105100;Tenga;71.05.09
11;Amurang;7105111;Amurang;71.05.10
12;Amurang Barat;7105112;Amurang Barat;71.05.17
13;Amurang Timur;7105113;Amurang Timur;71.05.18
14;Tareran;7105120;Tareran;71.05.13
15;Sulta;7105121;Suluun Tareran;71.05.23
16;Tumpaan;7105130;Tumpaan;71.05.12
17;Tatapaan;7105131;Tatapaan;71.05.19
