No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Oktau;9417056001;Oktau;91.12.23.2001
2;Okngan;9417056002;Okngam;91.12.23.2004
3;Okbem;9417056003;Okbem;91.12.23.2003
4;Oktaru;9417056004;Oktaru;91.12.23.2002
5;Kaep;9417056006;Kaep;91.12.23.2009
6;Bemhimiku;9417056007;Bemhimiku;91.12.23.2005
7;Atang Doki;9417056008;Atang Doki;91.12.23.2007
8;Okalut Kumal;9417056009;Okalut Kumal;91.12.23.2008
9;Bilip Bayo;9417056010;Bilip Bayo;91.12.23.2006
