No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kema;7106010;Kema;71.06.01
2;Kauditan;7106020;Kauditan;71.06.02
3;Airmadidi;7106030;Airmadidi;71.06.03
4;Kalawat;7106040;Kalawat;71.06.08
5;Dimembe;7106050;Dimembe;71.06.05
6;Talawaan;7106051;Talawaan;71.06.09
7;Wori;7106060;Wori;71.06.04
8;Likupang Barat;7106070;Likupang Barat;71.06.06
9;Likupang Timur;7106080;Likupang Timur;71.06.07
10;Likupang Selatan;7106081;Likupang Selatan;71.06.10
