No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pulau Sembilan;6302010;Pulausembilan;63.02.01
2;Pulau Laut Barat;6302020;Pulaulaut Barat;63.02.02
3;Pulau Laut Tanjung Selayar;6302021;Pulaulaut Tanjung Selayar;63.02.21
4;Pulau Laut Selatan;6302030;Pulaulaut Selatan;63.02.03
5;Pulau Laut Kepulauan;6302031;Pulaulaut Kepulauan;63.02.20
6;Pulau Laut Timur;6302040;Pulaulaut Timur;63.02.04
7;Pulau Sebuku;6302050;Pulausebuku;63.02.05
8;Pulau Laut Utara;6302060;Pulaulaut Utara;63.02.06
9;Pulau Laut Tengah;6302061;Pulaulaut Tengah;63.02.16
10;Kelumpang Selatan;6302120;Kelumpang Selatan;63.02.07
11;Kelumpang Hilir;6302121;Kelumpang Hilir;63.02.17
12;Kelumpang Hulu;6302130;Kelumpang Hulu;63.02.08
13;Hampang;6302140;Hampang;63.02.14
14;Sungai Durian;6302150;Sungaidurian;63.02.15
15;Kelumpang Tengah;6302160;Kelumpang Tengah;63.02.09
16;Kelumpang Barat;6302161;Kelumpang Barat;63.02.18
17;Kelumpang Utara;6302170;Kelumpang Utara;63.02.10
18;Pamukan Selatan;6302180;Pamukan Selatan;63.02.11
19;Sampanahan;6302190;Sampanahan;63.02.12
20;Pamukan Utara;6302200;Pamukan Utara;63.02.13
21;Pamukan Barat;6302201;Pamukan Barat;63.02.19
