No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Negeri Campang Jaya;1806082001;Negeri Campang Jaya;18.03.18.2004
2;Pampang Tangguk Jaya;1806082002;Pampang Tangguk Jaya;18.03.18.2005
3;Ratu Jaya;1806082003;Ratu Jaya;18.03.18.2007
4;Negeri Galih Rejo;1806082004;Negeri Galih Rejo;18.03.18.2006
5;Batu Nangkop;1806082005;Batu Nangkop;18.03.18.2001
6;Mekar Asri;1806082006;Mekar Sari;18.03.18.2008
7;Negara Bumi;1806082007;Negara Bumi;18.03.18.2002
8;Melungun Ratu;1806082008;Melungun Ratu;18.03.18.2003
