No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Lampung Barat;1801;Kab. Lampung Barat;18.04
2;Lampung Barat;1801;Kab. Lampung Barat;18.04
3;Tanggamus;1802;Kab. Tanggamus;18.06
4;Lampung Selatan;1803;Kab. Lampung Selatan;18.01
5;Lampung Timur;1804;Kab. Lampung Timur;18.07
6;Lampung Tengah;1805;Kab. Lampung Tengah;18.02
7;Lampung Utara;1806;Kab. Lampung Utara;18.03
8;Way Kanan;1807;Kab. Way Kanan;18.08
9;Tulangbawang;1808;Kab. Tulang Bawang;18.05
10;Pesawaran;1809;Kab. Pesawaran;18.09
11;Pringsewu;1810;Kab. Pringsewu;18.10
12;Mesuji;1811;Kab. Mesuji;18.11
13;Tulang Bawang Barat;1812;Kab. Tulang Bawang Barat;18.12
14;Pesisir Barat;1813;Kab. Pesisir Barat;18.13
15;Pesisir Barat;1813;Kab. Pesisir Barat;18.13
16;Bandar Lampung;1871;Kota Bandar Lampung;18.71
17;Metro;1872;Kota Metro;18.72
