No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Balige;1206030;Balige;12.12.01
2;Tampahan;1206031;Tampahan;12.12.22
3;Laguboti;1206040;Laguboti;12.12.02
4;Habinsaran;1206050;Habinsaran;12.12.04
5;Borbor;1206051;Borbor;12.12.06
6;Nassau;1206052;Nassau;12.12.21
7;Silaen;1206060;Silaen;12.12.03
8;Sigumpar;1206061;Sigumpar;12.12.19
9;Porsea;1206070;Porsea;12.12.07
10;Pintu Pohan Meranti;1206071;Pintu Pohan Meranti;12.12.05
11;Siantar Narumonda;1206072;Siantar Narumonda;12.12.20
12;Parmaksian;1206073;Parmaksian;12.12.24
13;Lumban Julu;1206080;Lumban Julu;12.12.09
14;Uluan;1206081;Uluan;12.12.10
15;Ajibata;1206082;Ajibata;12.12.08
16;Bonatua Lunasi;1206083;Bonatua Lunasi;12.12.23
