No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Aitinyo Barat_athabu;9110010;Aitinyo Barat;92.10.05
2;Ayamaru Selatan Jaya;9110011;Ayamaru Selatan Jaya;92.10.17
3;Aitinyo;9110020;Aitinyo;92.10.06
4;Aitinyo Tengah;9110021;Aitinyo Tengah;92.10.22
5;Aifat Selatan;9110030;Aifat Selatan;92.10.04
6;Aifat Timur Selatan;9110031;Aifat Timur Selatan;92.10.14
7;Aifat;9110040;Aifat;92.10.01
8;Aitinyo Utara;9110050;Aitinyo Utara;92.10.07
9;Aitinyo Raya;9110051;Aitinyo Raya;92.10.23
10;Ayamaru Timur;9110060;Ayamaru Timur;92.10.10
11;Ayamaru Timur Selatan;9110061;Ayamaru Timur Selatan;92.10.18
12;Ayamaru;9110070;Ayamaru;92.10.08
13;Ayamaru Selatan;9110071;Ayamaru Selatan;92.10.15
14;Ayamaru Jaya;9110072;Ayamaru Jaya;92.10.16
15;Ayamaru Tengah;9110073;Ayamaru Tengah;92.10.20
16;Ayamaru Barat;9110074;Ayamaru Barat;92.10.21
17;Ayamaru Utara;9110080;Ayamaru Utara;92.10.09
18;Ayamaru Utara Timur;9110081;Ayamaru Utara Timur;92.10.19
19;Mare;9110090;Mare;92.10.11
20;Mare Selatan;9110091;Mare Selatan;92.10.24
21;Aifat Utara;9110100;Aifat Utara;92.10.02
22;Aifat Timur;9110110;Aifat Timur;92.10.03
23;Aifat Timur Tengah;9110111;Aifat Timur Tengah;92.10.12
24;Aifat Timur Jauh;9110112;Aifat Timur Jauh;92.10.13
