No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Enggano;1703010;Enggano;17.03.01
2;Kerkap;1703050;Kerkap;17.03.06
3;Air Napal;1703051;Air Napal;17.03.16
4;Air Besi;1703052;Air Besi;17.03.15
5;Hulu Palik;1703053;Hulu Palik;17.03.19
6;Tanjung Agung Palik;1703054;Tanjung Agung Palik;17.03.22
7;Arga Makmur;1703060;Kota Arga Makmur;17.03.07
8;Arma Jaya;1703061;Arma Jaya;17.03.21
9;Lais;1703070;Lais;17.03.10
10;Batik Nau;1703071;Batik Nau;17.03.11
11;Giri Mulya;1703072;Giri Mulya;17.03.08
12;Air Padang;1703073;Air Padang;17.03.20
13;Padang Jaya;1703080;Padang Jaya;17.03.09
14;Ketahun;1703090;Ketahun;17.03.12
15;Ketahun;1703090;Ketahun;17.03.12
16;Napal Putih;1703091;Napal Putih;17.03.13
17;Ulok Kupai;1703092;Ulok Kupai;17.03.23
18;Pinang Raya;1703093;Pinang Raya;17.03.24
19;Putri Hijau;1703100;Putri Hijau;17.03.14
20;Marga Sakti Sebelat;1703101;Marga Sakti Sebelat;17.03.25
