No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Danau Panggang;6308010;Danau Panggang;63.08.01
2;Paminggir;6308011;Paminggir;63.08.09
3;Babirik;6308020;Babirik;63.08.02
4;Sungai Pandan;6308030;Sungai Pandan;63.08.03
5;Sungai Tabukan;6308031;Sungai Tabukan;63.08.10
6;Amuntai Selatan;6308040;Amuntai Selatan;63.08.04
7;Amuntai Tengah;6308050;Amuntai Tengah;63.08.05
8;Banjang;6308060;Banjang;63.08.07
9;Amuntai Utara;6308070;Amuntai Utara;63.08.06
10;Haur Gading;6308071;Haur Gading;63.08.08
