No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Sumarorong;7603010;Sumarorong;76.03.06
2;Messawa;7603020;Messawa;76.03.07
3;Pana;7603030;Pana;76.03.04
4;Nosu;7603031;Nosu;76.03.13
5;Tabang;7603040;Tabang;76.03.10
6;Mamasa;7603050;Mamasa;76.03.03
7;Tanduk Kalua;7603060;Tanduk Kalua;76.03.09
8;Balla;7603061;Balla;76.03.12
9;Sesenapadang;7603070;Sesenapadang;76.03.08
10;Tawalian;7603071;Tawalian;76.03.14
11;Mambi;7603080;Mambi;76.03.01
12;Bambang;7603081;Bambang;76.03.11
13;Rantebulahan Timur;7603082;Rantebulahan Timur;76.03.15
14;Mehalaan;7603083;Mehalaan;76.03.17
15;Aralle;7603090;Aralle;76.03.02
16;Buntu Malangka;7603091;Buntumalangka;76.03.16
17;Tabulahan;7603100;Tabulahan;76.03.05
