No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pinang Sori;1204010;Pinangsori;12.01.04
2;Badiri;1204011;Badiri;12.01.15
3;Sibabangun;1204020;Sibabangun;12.01.08
4;Lumut;1204021;Lumut;12.01.19
5;Sukabangun;1204022;Suka Bangun;12.01.18
6;Pandan;1204030;Pandan;12.01.03
7;Tukka;1204031;Tukka;12.01.14
8;Sarudik;1204032;Sarudik;12.01.20
9;Tapian Nauli;1204040;Tapian Nauli;12.01.07
10;Sitahuis;1204041;Sitahuis;12.01.13
11;Kolang;1204050;Kolang;12.01.06
12;Sorkam;1204060;Sorkam;12.01.02
13;Sorkam Barat;1204061;Sorkam Barat;12.01.10
14;Pasaribu Tobing;1204062;Pasaribu Tobing;12.01.16
15;Barus;1204070;Barus;12.01.01
16;Sosor Gadong;1204071;Sosorgadong;12.01.09
17;Andam Dewi;1204072;Andam Dewi;12.01.12
18;Barus Utara;1204073;Barus Utara;12.01.17
19;Manduamas;1204080;Manduamas;12.01.05
20;Sirandorung;1204081;Sirandorung;12.01.11
