No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kei Kecil;8102010;Kei Kecil;81.02.01
2;Kei Kecil Barat;8102012;Kei Kecil Barat;81.02.14
3;Kei Kecil Timur;8102013;Kei Kecil Timur;81.02.13
4;Hoat Sorbay;8102014;Hoat Sorbay;81.02.16
5;Manyeuw;8102015;Manyeuw;81.02.15
6;Kei Kecil Timur Selatan;8102016;Kei Kecil Timur Selatan;81.02.19
7;Kei Besar;8102020;Kei Besar;81.02.03
8;Kei Besar Utara Timur;8102021;Kei Besar Utara Timur;81.02.05
9;Kei Besar Selatan;8102022;Kei Besar Selatan;81.02.04
10;Kei Besar Utara Barat;8102023;Kei Besar Utara Barat;81.02.17
11;Kei Besar Selatan Barat;8102024;Kei Besar Selatan Barat;81.02.18
