No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Banda;8103010;Banda;81.01.09
2;Tehoru;8103040;Tehoru;81.01.11
3;Telutih;8103041;Telutih;81.01.23
4;Amahai;8103050;Amahai;81.01.01
5;Kota Masohi;8103051;Kota Masohi;81.01.17
6;Teluk Elpaputih;8103052;Teluk Elpaputih;81.01.21
7;Teon Nila Serua;8103060;Teon Nila Serua;81.01.02
8;Saparua;8103080;Saparua;81.01.12
9;Nusalaut;8103081;Nusa Laut;81.01.16
10;Saparua Timur;8103082;Saparua Timur;81.01.26
11;P. Haruku;8103090;Pulau Haruku;81.01.13
12;Salahutu;8103100;Salahutu;81.01.14
13;Leihitu;8103110;Leihitu;81.01.15
14;Leihitu Barat;8103111;Leihitu Barat;81.01.22
15;Seram Utara;8103140;Seram Utara;81.01.06
16;Seram Utara Barat;8103141;Seram Utara Barat;81.01.20
17;Seram Utara Timur Kobi;8103142;Seram Utara Timur Kobi;81.01.25
18;Seram Utara Timur Seti;8103143;Seram Utara Timur Seti;81.01.24
