No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Ngrayun;3502010;Ngrayun;35.02.02
2;Slahung;3502020;Slahung;35.02.01
3;Bungkal;3502030;Bungkal;35.02.03
4;Sambit;3502040;Sambit;35.02.04
5;Sawoo;3502050;Sawoo;35.02.05
6;Sooko;3502060;Sooko;35.02.06
7;Pudak;3502061;Pudak;35.02.21
8;Pulung;3502070;Pulung;35.02.07
9;Mlarak;3502080;Mlarak;35.02.08
10;Siman;3502090;Siman;35.02.10
11;Jetis;3502100;Jetis;35.02.09
12;Balong;3502110;Balong;35.02.11
13;Kauman;3502120;Kauman;35.02.12
14;Jambon;3502130;Jambon;35.02.20
15;Badegan;3502140;Badegan;35.02.13
16;Sampung;3502150;Sampung;35.02.14
17;Sukorejo;3502160;Sukorejo;35.02.15
18;Ponorogo;3502170;Ponorogo;35.02.17
19;Babadan;3502180;Babadan;35.02.16
20;Jenangan;3502190;Jenangan;35.02.18
21;Ngebel;3502200;Ngebel;35.02.19
