No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Klaso;9107061;Klaso;92.01.41
2;Saengkeduk;9107062;Saengkeduk;92.01.48
3;Makbon;9107100;Makbon;92.01.01
4;Klayili;9107101;Klayili;92.01.40
5;Beraur;9107110;Beraur;92.01.04
6;Klamono;9107111;Klamono;92.01.08
7;Klabot;9107112;Klabot;92.01.17
8;Klawak;9107113;Klawak;92.01.18
9;Bagun;9107114;Bagun;92.01.44
10;Klasafet;9107115;Klasafet;92.01.51
11;Malabotom;9107116;Malabotom;92.01.49
12;Botain;9107118;Botain;92.01.54
13;Konhir;9107119;Konhir;92.01.50
14;Salawati;9107120;Moisegen;92.01.42
15;Salawati;9107120;Salawati;92.01.05
16;Mayamuk;9107121;Mayamuk;92.01.13
17;Salawati Timur;9107122;Salawati;92.01.05
18;Hobard;9107123;Hobard;92.01.52
19;Buk;9107124;Buk;92.01.47
20;Seget;9107130;Seget;92.01.06
21;Segun;9107131;Segun;92.01.12
22;Salawati Selatan;9107132;Salawati Selatan;92.01.14
23;Salawati Tengah;9107133;Salawati Tengah;92.01.53
24;Aimas;9107170;Aimas;92.01.07
25;Mariat;9107171;Mariat;92.01.39
26;Sorong;9107172;Sorong;92.01.43
27;Sayosa;9107180;Sayosa;92.01.10
28;Maudus;9107181;Maudus;92.01.20
29;Wemak;9107182;Wemak;92.01.45
30;Sayosa Timur;9107183;Sayosa Timur;92.01.55
31;Sunook;9107184;Sunook;92.01.46
