No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Batang Anai;1306010;Batang Anai;13.05.02
2;Lubuk Alung;1306020;Lubuk Alung;13.05.01
3;Sintuk Toboh Gadang;1306021;Sintuak Toboh Gadang;13.05.11
4;Ulakan Tapakis;1306030;Ulakan Tapakih;13.05.10
5;Nan Sabaris;1306040;Nan Sabaris;13.05.03
6;2 X 11 Enam Lingkung;1306050;2 X 11 Enam Lingkuang;13.05.04
7;Enam Lingkung;1306051;Enam Lingkung;13.05.17
8;2 X 11 Kayu Tanam;1306052;2 X 11 Kayu Tanam;13.05.15
9;Vii Koto Sungai Sariak;1306060;Vii Koto Sungai Sarik;13.05.05
10;Patamuan;1306061;Patamuan;13.05.16
11;Padang Sago;1306062;Padang Sago;13.05.12
12;V Koto Kp Dalam;1306070;V Koto Kampung Dalam;13.05.06
13;V Koto Timur;1306071;V Koto Timur;13.05.14
14;Sungai Limau;1306080;Sungai Limau;13.05.08
15;Batang Gasan;1306081;Batang Gasan;13.05.13
16;Sungai Geringging;1306090;Sungai Garingging;13.05.07
17;Iv Koto Aur Malintang;1306100;Iv Koto Aur Malintang;13.05.09
