No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kamal;3526010;Kamal;35.26.04
2;Labang;3526020;Labang;35.26.12
3;Kwanyar;3526030;Kwanyar;35.26.11
4;Modung;3526040;Modung;35.26.16
5;Blega;3526050;Blega;35.26.15
6;Konang;3526060;Konang;35.26.17
7;Galis;3526070;Galis;35.26.18
8;Tanah Merah;3526080;Tanah Merah;35.26.13
9;Tragah;3526090;Tragah;35.26.14
10;Socah;3526100;Socah;35.26.02
11;Bangkalan;3526110;Bangkalan;35.26.01
12;Burneh;3526120;Burneh;35.26.03
13;Arosbaya;3526130;Arosbaya;35.26.05
14;Geger;3526140;Geger;35.26.06
15;Kokop;3526150;Kokop;35.26.10
16;Tanjungbumi;3526160;Tanjung Bumi;35.26.09
17;Sepulu;3526170;Sepulu;35.26.08
18;Klampis;3526180;Klampis;35.26.07
