No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kabaruan;7104010;Kabaruan;71.04.06
2;Damau;7104011;Damau;71.04.09
3;Lirung;7104020;Lirung;71.04.01
4;Salibabu;7104021;Salibabu;71.04.11
5;Kalongan;7104022;Kalongan;71.04.12
6;Moronge;7104023;Moronge;71.04.17
7;Melonguane;7104030;Melonguane;71.04.07
8;Melonguane Timur;7104031;Melonguane Timur;71.04.16
9;Beo;7104040;Beo;71.04.02
10;Beo Utara;7104041;Beo Utara;71.04.14
11;Beo Selatan;7104042;Beo Selatan;71.04.18
12;Rainis;7104050;Rainis;71.04.03
13;'Tampa Na''mma';7104051;Tampan' Amma;71.04.10
14;Pulutan;7104052;Pulutan;71.04.15
15;Essang;7104060;Essang;71.04.04
16;Essang Selatan;7104061;Essang Selatan;71.04.19
17;Gemeh;7104070;Gemeh;71.04.08
18;Nanusa;7104080;Nanusa;71.04.05
19;Miangas;7104081;Miangas;71.04.13
