No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Ilir Barat Ii;1671010;Ilir Barat Ii;16.71.01
2;Gandus;1671011;Gandus;16.71.12
3;Seberang Ulu I;1671020;Seberang Ulu I;16.71.02
4;Kertapati;1671021;Kertapati;16.71.13
5;Jakabaring;1671022;Jakabaring;16.71.17
6;Seberang Ulu Ii;1671030;Seberang Ulu Ii;16.71.03
7;Plaju;1671031;Plaju;16.71.14
8;Ilir Barat I;1671040;Ilir Barat I;16.71.04
9;Bukit Kecil;1671041;Bukit Kecil;16.71.11
10;Ilir Timur I;1671050;Ilir Timur I;16.71.05
11;Kemuning;1671051;Kemuning;16.71.09
12;Ilir Timur Ii;1671060;Ilir Timur Ii;16.71.06
13;Kalidoni;1671061;Kalidoni;16.71.10
14;Ilir Timur Iii;1671062;Ilir Timur Tiga;16.71.18
15;Sako;1671070;Sako;16.71.08
16;Sematang Borang;1671071;Sematang Borang;16.71.16
17;Sukarami;1671080;Sukarami;16.71.07
18;Alang Alang Lebar;1671081;Alang-alang Lebar;16.71.15
