No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Sukorame;3524010;Sukorame;35.24.01
2;Bluluk;3524020;Bluluk;35.24.02
3;Ngimbang;3524030;Ngimbang;35.24.04
4;Sambeng;3524040;Sambeng;35.24.11
5;Mantup;3524050;Mantup;35.24.16
6;Kembangbahu;3524060;Kembangbahu;35.24.19
7;Sugio;3524070;Sugio;35.24.12
8;Kedungpring;3524080;Kedungpring;35.24.06
9;Modo;3524090;Modo;35.24.03
10;Babat;3524100;Babat;35.24.05
11;Pucuk;3524110;Pucuk;35.24.13
12;Sukodadi;3524120;Sukodadi;35.24.17
13;Lamongan;3524130;Lamongan;35.24.22
14;Tikung;3524140;Tikung;35.24.23
15;Sarirejo;3524141;Sarirejo;35.24.27
16;Deket;3524150;Deket;35.24.25
17;Glagah;3524160;Glagah;35.24.26
18;Karangbinangun;3524170;Karangbinangun;35.24.24
19;Turi;3524180;Turi;35.24.21
20;Kalitengah;3524190;Kalitengah;35.24.20
21;Karang Geneng;3524200;Karanggeneng;35.24.18
22;Sekaran;3524210;Sekaran;35.24.09
23;Maduran;3524220;Maduran;35.24.10
24;Laren;3524230;Laren;35.24.08
25;Solokuro;3524240;Solokuro;35.24.15
26;Paciran;3524250;Paciran;35.24.14
27;Brondong;3524260;Brondong;35.24.07
