No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Numfor Barat;9409010;Numfor Barat;91.06.04
2;Orkeri;9409011;Orkeri;91.06.17
3;Numfor Timur;9409020;Numfor Timur;91.06.05
4;Bruyadori;9409021;Bruyadori;91.06.16
5;Poiru;9409022;Poiru;91.06.18
6;Padaido;9409030;Padaido;91.06.10
7;Aimando Padaido;9409031;Aimando Padaido;91.06.19
8;Biak Timur;9409040;Biak Timur;91.06.03
9;Oridek;9409041;Oridek;91.06.20
10;Biak Kota;9409050;Biak Kota;91.06.01
11;Samofa;9409060;Samofa;91.06.12
12;Yendidori;9409070;Yendidori;91.06.11
13;Biak Utara;9409080;Biak Utara;91.06.02
14;Andey;9409081;Andey;91.06.14
15;Warsa;9409090;Warsa;91.06.09
16;Yawosi;9409091;Yawosi;91.06.13
17;Bondifuar;9409092;Bondifuar;91.06.21
18;Biak Barat;9409100;Biak Barat;91.06.08
19;Swandiwe;9409101;Swandiwe;91.06.15
