No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Tanah Laut;6301;Kab. Tanah Laut;63.01
2;Kota Baru;6302;Kab. Kotabaru;63.02
3;Banjar;6303;Kab. Banjar;63.03
4;Barito Kuala;6304;Kab. Barito Kuala;63.04
5;Tapin;6305;Kab. Tapin;63.05
6;Hulu Sungai Selatan;6306;Kab. Hulu Sungai Selatan;63.06
7;Hulu Sungai Tengah;6307;Kab. Hulu Sungai Tengah;63.07
8;Hulu Sungai Utara;6308;Kab. Hulu Sungai Utara;63.08
9;Tabalong;6309;Kab. Tabalong;63.09
10;Tanah Bumbu;6310;Kab. Tanah Bumbu;63.10
11;Balangan;6311;Kab. Balangan;63.11
12;Banjarmasin;6371;Kota Banjarmasin;63.71
13;Banjar Baru;6372;Kota Banjarbaru;63.72
