No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Moga;3327010;Moga;33.27.01
2;Warungpring;3327011;Warungpring;33.27.14
3;Pulosari;3327020;Pulosari;33.27.02
4;Belik;3327030;Belik;33.27.03
5;Watukumpul;3327040;Watukumpul;33.27.04
6;Bodeh;3327050;Bodeh;33.27.05
7;Bantarbolang;3327060;Bantarbolang;33.27.06
8;Randudongkal;3327070;Randudongkal;33.27.07
9;Pemalang;3327080;Pemalang;33.27.08
10;Taman;3327090;Taman;33.27.09
11;Petarukan;3327100;Petarukan;33.27.10
12;Ampelgading;3327110;Ampelgading;33.27.11
13;Comal;3327120;Comal;33.27.12
14;Ulujami;3327130;Ulujami;33.27.13
