No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Ipuh;1706010;Ipuh;17.06.05
2;Air Rami;1706011;Air Rami;17.06.07
3;Malin Deman;1706012;Malin Deman;17.06.06
4;Pondok Suguh;1706020;Pondok Suguh;17.06.04
5;Sungai Rumbai;1706021;Sungai Rumbai;17.06.15
6;Teramang Jaya;1706022;Teramang Jaya;17.06.08
7;Teras Terunjam;1706030;Teras Terunjam;17.06.03
8;Penarik;1706031;Penarik;17.06.10
9;Selagan Raya;1706032;Selagan Raya;17.06.09
10;Kota Mukomuko;1706040;Kota Mukomuko;17.06.02
11;Air Dikit;1706041;Air Dikit;17.06.14
12;Xiv Koto;1706042;Xiv Koto;17.06.11
13;Lubuk Pinang;1706050;Lubuk Pinang;17.06.01
14;Air Manjunto;1706051;Air Majunto;17.06.13
15;V Koto;1706052;V Koto;17.06.12
