No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Kepulauan Mentawai;1301;Kab. Kepulauan Mentawai;13.09
2;Pesisir Selatan;1302;Kab. Pesisir Selatan;13.01
3;Solok;1303;Kab. Solok;13.02
4;Sijunjung;1304;Kab. Sijunjung;13.03
5;Tanah Datar;1305;Kab. Tanah Datar;13.04
6;Padang Pariaman;1306;Kab. Padang Pariaman;13.05
7;Agam;1307;Kab. Agam;13.06
8;Lima Puluh Kota;1308;Kab. Lima Puluh Kota;13.07
9;Pasaman;1309;Kab. Pasaman;13.08
10;Solok Selatan;1310;Kab. Solok Selatan;13.11
11;Dharmasraya;1311;Kab. Dharmasraya;13.10
12;Pasaman Barat;1312;Kab. Pasaman Barat;13.12
13;Padang;1371;Kota Padang;13.71
14;Solok;1372;Kota Solok;13.72
15;Sawah Lunto;1373;Kota Sawahlunto;13.73
16;Padang Panjang;1374;Kota Padang Panjang;13.74
17;Bukittinggi;1375;Kota Bukittinggi;13.75
18;Payakumbuh;1376;Kota Payakumbuh;13.76
19;Pariaman;1377;Kota Pariaman;13.77
