No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Mandau;1408010;Mandau;14.03.09
2;Pinggir;1408011;Pinggir;14.03.13
3;Bathin Solapan;1408012;Bathin Solapan;14.03.16
4;Talang Muandau;1408013;Talang Muandau;14.03.15
5;Bukit Batu;1408020;Bukit Batu;14.03.03
6;Siak Kecil;1408021;Siak Kecil;14.03.12
7;Bandar Laksamana;1408022;Bandar Laksamana;14.03.14
8;Rupat;1408030;Rupat;14.03.10
9;Rupat Utara;1408031;Rupat Utara;14.03.11
10;Bengkalis;1408040;Bengkalis;14.03.01
11;Bantan;1408050;Bantan;14.03.02
