No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Paceda;7172010008;Paceda;71.72.02.1002
2;Madidir Unet;7172010009;Madidir Unet;71.72.02.1007
3;Madidir Ure;7172010010;Madidir Ure;71.72.02.1003
4;Madidir Weru;7172010011;Madidir Weru;71.72.02.1006
5;Kadoodan;7172010012;Kadoodan;71.72.02.1004
6;Wangurer Barat;7172010015;Wangurer Barat;71.72.02.1001
7;Wangurer Timur;7172010016;Wangurer Timur;71.72.02.1009
8;Wangurer Utara;7172010017;Wangurer Utara;71.72.02.1011
