No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Larompong;7317010;Larompong;73.17.02
2;Larompong Selatan;7317011;Larompong Selatan;73.17.10
3;Suli;7317020;Suli;73.17.03
4;Suli Barat;7317021;Suli Barat;73.17.19
5;Belopa;7317030;Belopa;73.17.07
6;Kamanre;7317031;Kamanre;73.17.13
7;Belopa Utara;7317032;Belopa Utara;73.17.14
8;Bajo;7317040;Bajo;73.17.04
9;Bajo Barat;7317041;Bajo Barat;73.17.20
10;Bassesangtempe;7317050;Basse Sangtempe;73.17.01
11;Latimojong;7317051;Latimojong;73.17.12
12;Bassesangtempe Utara;7317052;Basse Sangtempe Utara;73.17.22
13;Bupon;7317060;Bua Ponrang;73.17.05
14;Ponrang;7317061;Ponrang;73.17.11
15;Ponrang Selatan;7317062;Ponrang Selatan;73.17.21
16;Bua;7317070;Bua;73.17.08
17;Walenrang;7317080;Walenrang;73.17.06
18;Walenrang Timur;7317081;Walenrang Timur;73.17.17
19;Lamasi;7317090;Lamasi;73.17.09
20;Walenrang Utara;7317091;Walenrang Utara;73.17.16
21;Walenrang Barat;7317092;Walenrang Barat;73.17.15
22;Lamasi Timur;7317093;Lamasi Timur;73.17.18
