No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Totikum;7201030;Totikum;72.07.03
2;Totikum Selatan;7201031;Totikum Selatan;72.07.15
3;Tinangkung;7201040;Tinangkung;72.07.04
4;Tinangkung Selatan;7201041;Tinangkung Selatan;72.07.11
5;Tinangkung Utara;7201042;Tinangkung Utara;72.07.19
6;Liang;7201050;Liang;72.07.05
7;Peling Tengah;7201051;Peling Tengah;72.07.16
8;Bulagi;7201060;Bulagi;72.07.06
9;Bulagi Selatan;7201061;Bulagi Selatan;72.07.09
10;Bulagi Utara;7201062;Bulagi Utara;72.07.17
11;Buko;7201070;Buko;72.07.07
12;Buko Selatan;7201071;Buko Selatan;72.07.18
