No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Tebo Ilir;1508010;Tebo Ilir;15.09.02
2;Muara Tabir;1508011;Muara Tabir;15.09.12
3;Tebo Tengah;1508020;Tebo Tengah;15.09.01
4;Sumay;1508021;Sumay;15.09.05
5;Tengah Ilir;1508022;Tengah Ilir;15.09.09
6;Rimbo Bujang;1508030;Rimbo Bujang;15.09.04
7;Rimbo Ulu;1508031;Rimbo Ulu;15.09.07
8;Rimbo Ilir;1508032;Rimbo Ilir;15.09.08
9;Tebo Ulu;1508040;Tebo Ulu;15.09.03
10;Vii Koto;1508041;Vii Koto;15.09.06
11;Serai Serumpun;1508042;Serai Serumpun;15.09.10
12;Vii Koto Ilir;1508043;Vii Koto Ilir;15.09.11
