No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Tidore Selatan;8272010;Tidore Selatan;82.72.04
2;Tidore Utara;8272020;Tidore Utara;82.72.05
3;Tidore;8272030;Tidore;82.72.01
4;Tidore Timur;8272031;Tidore Timur;82.72.08
5;Oba;8272040;Oba;82.72.03
6;Oba Selatan;8272041;Oba Selatan;82.72.07
7;Oba Utara;8272050;Oba Utara;82.72.02
8;Oba Tengah;8272051;Oba Tengah;82.72.06
