No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Tomohon Selatan;7173010;Tomohon Selatan;71.73.01
2;Tomohon Tengah;7173020;Tomohon Tengah;71.73.02
3;Tomohon Timur;7173021;Tomohon Timur;71.73.05
4;Tomohon Barat;7173022;Tomohon Barat;71.73.04
5;Tomohon Utara;7173030;Tomohon Utara;71.73.03
