No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Pandeglang;3601;Kab. Pandeglang;36.01
2;Lebak;3602;Kab. Lebak;36.02
3;Tangerang;3603;Kab. Tangerang;36.03
4;Serang;3604;Kab. Serang;36.04
5;Tangerang;3671;Kota Tangerang;36.71
6;Cilegon;3672;Kota Cilegon;36.72
7;Serang;3673;Kota Serang;36.73
8;Tangerang Selatan;3674;Kota Tangerang Selatan;36.74
