No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Ogan Komering Ulu;1601;Kab. Ogan Komering Ulu;16.01
2;Ogan Komering Ilir;1602;Kab. Ogan Komering Ilir;16.02
3;Muara Enim;1603;Kab. Muara Enim;16.03
4;Muara Enim;1603;Kab. Muara Enim;16.03
5;Lahat;1604;Kab. Lahat;16.04
6;Musi Rawas;1605;Kab. Musi Rawas;16.05
7;Musi Rawas;1605;Kab. Musi Rawas;16.05
8;Musi Banyuasin;1606;Kab. Musi Banyuasin;16.06
9;Banyu Asin;1607;Kab. Banyuasin;16.07
10;Ogan Komering Ulu Selatan;1608;Kab. Ogan Komering Ulu Selatan;16.09
11;Ogan Komering Ulu Timur;1609;Kab. Ogan Komering Ulu Timur;16.08
12;Ogan Ilir;1610;Kab. Ogan Ilir;16.10
13;Empat Lawang;1611;Kab. Empat Lawang;16.11
14;Penukal Abab Lematang Ilir;1612;Kab. Penukal Abab Lematang Ilir;16.12
15;Penukal Abab Lematang Ilir;1612;Kab. Penukal Abab Lematang Ilir;16.12
16;Musi Rawas Utara;1613;Kab. Musi Rawas Utara;16.13
17;Musi Rawas Utara;1613;Kab. Musi Rawas Utara;16.13
18;Palembang;1671;Kota Palembang;16.71
19;Prabumulih;1672;Kota Prabumulih;16.74
20;Pagar Alam;1673;Kota Pagar Alam;16.72
21;Lubuklinggau;1674;Kota Lubuk Linggau;16.73
