No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Bolaang Mongondow;7101;Kab. Bolaang Mongondow;71.01
2;Minahasa;7102;Kab. Minahasa;71.02
3;Kepulauan Sangihe;7103;Kab. Kepulauan Sangihe;71.03
4;Kepulauan Talaud;7104;Kab. Kepulauan Talaud;71.04
5;Minahasa Selatan;7105;Kab. Minahasa Selatan;71.05
6;Minahasa Utara;7106;Kab. Minahasa Utara;71.06
7;Bolaang Mongondow Utara;7107;Kab. Bolaang Mongondow Utara;71.08
8;Siau Tagulandang Biaro;7108;Kab. Kep. Siau Tagulandang Biaro;71.09
9;Minahasa Tenggara;7109;Kab. Minahasa Tenggara;71.07
10;Bolaang Mongondow Selatan;7110;Kab. Bolaang Mongondow Selatan;71.11
11;Bolaang Mongondow Timur;7111;Kab. Bolaang Mongondow Timur;71.10
12;Manado;7171;Kota Manado;71.71
13;Bitung;7172;Kota Bitung;71.72
14;Tomohon;7173;Kota Tomohon;71.73
15;Kotamobagu;7174;Kota Kotamobagu;71.74
