No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Haurgeulis;3212010;Haurgeulis;32.12.01
2;Gantar;3212011;Gantar;32.12.25
3;Kroya;3212020;Kroya;32.12.02
4;Gabuswetan;3212030;Gabuswetan;32.12.03
5;Cikedung;3212040;Cikedung;32.12.04
6;Terisi;3212041;Trisi;32.12.26
7;Lelea;3212050;Lelea;32.12.05
8;Bangodua;3212060;Bangodua;32.12.06
9;Tukdana;3212061;Tukdana;32.12.30
10;Widasari;3212070;Widasari;32.12.07
11;Kertasemaya;3212080;Kertasemaya;32.12.08
12;Sukagumiwang;3212081;Sukagumiwang;32.12.27
13;Krangkeng;3212090;Krangkeng;32.12.09
14;Karangampel;3212100;Karangampel;32.12.10
15;Kedokan Bunder;3212101;Kedokan Bunder;32.12.28
16;Juntinyuat;3212110;Juntinyuat;32.12.11
17;Sliyeg;3212120;Sliyeg;32.12.12
18;Jatibarang;3212130;Jatibarang;32.12.13
19;Balongan;3212140;Balongan;32.12.14
20;Indramayu;3212150;Indramayu;32.12.15
21;Sindang;3212160;Sindang;32.12.16
22;Cantigi;3212161;Cantigi;32.12.17
23;Pasekan;3212162;Pasekan;32.12.29
24;Lohbener;3212170;Lohbener;32.12.18
25;Arahan;3212171;Arahan;32.12.19
26;Losarang;3212180;Losarang;32.12.20
27;Kandanghaur;3212190;Kandanghaur;32.12.21
28;Bongas;3212200;Bongas;32.12.22
29;Anjatan;3212210;Anjatan;32.12.23
30;Sukra;3212220;Sukra;32.12.24
31;Patrol;3212221;Patrol;32.12.31
