No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Soropia;7403090;Soropia;74.02.11
2;Lalonggasumeeto;7403091;Lalonggasumeeto;74.02.36
3;Sampara;7403100;Sampara;74.02.05
4;Bondoala;7403101;Bondoala;74.02.21
5;Besulutu;7403102;Besulutu;74.02.20
6;Kapoiala;7403103;Kapoiala;74.02.33
7;Anggalomoare;7403104;Anggalomoare;74.02.40
8;Morosi;7403105;Morosi;74.02.39
9;Lambuya;7403130;Lambuya;74.02.01
10;Uepai;7403131;Uepai;74.02.18
11;Puriala;7403132;Puriala;74.02.17
12;Onembute;7403133;Onembute;74.02.37
13;Pondidaha;7403140;Pondidaha;74.02.04
14;Wonggeduku;7403141;Wonggeduku;74.02.19
15;Amonggedo;7403142;Amonggedo;74.02.28
16;Wonggeduku Barat;7403143;Wonggeduku Barat;74.02.41
17;Wawotobi;7403150;Wawotobi;74.02.03
18;Meluhu;7403151;Meluhu;74.02.25
19;Konawe;7403152;Konawe;74.02.32
20;Anggotoa;7403153;Wawotobi;74.02.03
21;Unaaha;7403170;Unaaha;74.02.02
22;Anggaberi;7403171;Anggaberi;74.02.24
23;Abuki;7403180;Abuki;74.02.10
24;Latoma;7403181;Latoma;74.02.16
25;Tongauna;7403182;Tongauna;74.02.15
26;Asinua;7403183;Asinua;74.02.31
27;Padangguni;7403184;Padangguni;74.02.38
28;Tongauna Utara;7403185;Tongauna;74.02.15
29;Routa;7403193;Routa;74.02.23
