No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Bontocani;7311010;Bontocani;73.08.01
2;Kahu;7311020;Kahu;73.08.02
3;Kajuara;7311030;Kajuara;73.08.03
4;Salomekko;7311040;Salomekko;73.08.04
5;Tonra;7311050;Tonra;73.08.05
6;Patimpeng;7311060;Patimpeng;73.08.27
7;Libureng;7311070;Libureng;73.08.06
8;Mare;7311080;Mare;73.08.07
9;Sibulue;7311090;Sibulue;73.08.08
10;Cina;7311100;Cina;73.08.10
11;Barebbo;7311110;Barebbo;73.08.09
12;Ponre;7311120;Ponre;73.08.11
13;Lappariaja;7311130;Lappariaja;73.08.12
14;Lamuru;7311140;Lamuru;73.08.13
15;Tellu Limpoe;7311141;Tellulimpoe;73.08.25
16;Bengo;7311150;Bengo;73.08.26
17;Ulaweng;7311160;Ulaweng;73.08.14
18;Palakka;7311170;Palakka;73.08.15
19;Awangpone;7311180;Awangpone;73.08.16
20;Tellu Siattinge;7311190;Tellu Siattinge;73.08.17
21;Amali;7311200;Amali;73.08.24
22;Ajangale;7311210;Ajangale;73.08.18
23;Dua Boccoe;7311220;Dua Boccoe;73.08.19
24;Cenrana;7311230;Cenrana;73.08.20
25;Tanete Riattang Barat;7311710;Tanete Riattang Barat;73.08.22
26;Tanete Riattang;7311720;Tanete Riattang;73.08.21
27;Tanete Riattang Timur;7311730;Tanete Riattang Timur;73.08.23
