Username;Number of Review;Number of Product;Response Chat (Percentage);Response Chat (Category);Length of Stay;Number of Follower;Product Category;Address;Rating;Status
jimmclick;490;879;89%;hitungan jam;3 tahun lalu;743;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.9 (490 Penilaian);Regular
asrialamer;92;42;88%;hitungan menit;34 bulan lalu;97;Komputer & Aksesoris;KOTA BANDUNG - KIARACONDONG, JAWA BARAT, ID;4.7 (92 Penilaian);Regular
flazz_99;13;254;96%;hitungan menit;4 bulan lalu;18;Komputer & Aksesoris;KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID;5.0 (13 Penilaian);Regular
murniajjah;290;91;86%;hitungan jam;4 tahun lalu;1,2RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - CENGKARENG, DKI JAKARTA, ID;4.6 (290 Penilaian);Regular
asrafagus89;13;34;90%;hitungan jam;19 bulan lalu;125;Komputer & Aksesoris;KAB. PONOROGO - PONOROGO, JAWA TIMUR, ID;4.8 (13 Penilaian);Regular
laptopcpu;133;84;99%;hitungan jam;14 bulan lalu;152;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (133 Penilaian);Regular
gorsir_komputer;127;33;41%;hitungan jam;25 bulan lalu;1,2RB;Komputer & Aksesoris;KOTA CIMAHI - CIMAHI UTARA, JAWA BARAT, ID;4.6 (127 Penilaian);Regular
sinarmulia.;4,3RB;360;99%;hitungan jam;4 tahun lalu;5RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - GROGOL PETAMBURAN, DKI JAKARTA, ID;4.9 (4,3RB Penilaian);Star+
wepart;26,6RB;1,2RB;89%;hitungan jam;33 bulan lalu;2,4RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.8 (26,6RB Penilaian);Regular
yandra93;116;475;82%;hitungan jam;34 bulan lalu;33;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;33;Regular
juragancomputerr;127;118;98%;hitungan jam;4 tahun lalu;260;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.6 (127 Penilaian);Regular
zona.digital;3,2RB;389;96%;hitungan jam;24 bulan lalu;2RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (3,2RB Penilaian);Regular
rizkiprianto994;5,7RB;324;97%;hitungan jam;24 bulan lalu;2,5RB;Komputer & Aksesoris;KAB. TANGERANG - KOSAMBI, BANTEN, ID;4.9 (5,7RB Penilaian);Regular
uptodatebandung;323;888;89%;hitungan jam;5 tahun lalu;2,4RB;Komputer & Aksesoris;KOTA BANDUNG - SUMUR BANDUNG, JAWA BARAT, ID;4.9 (323 Penilaian);Star
suplementory;489;159;95%;hitungan jam;17 bulan lalu;193;Komputer & Aksesoris;KOTA DEPOK - BEJI, JAWA BARAT, ID;4.7 (489 Penilaian);Regular
